"id_usuario";"id_item";"nota";"data-hora"
"666";"32";"4";"1997-11-21 16:11:06"
"326";"508";"3";"1997-11-18 14:50:32"
"487";"28";"4";"1997-12-29 22:45:52"
"224";"243";"2";"1998-02-21 14:31:17"
"472";"780";"4";"1997-10-04 13:35:22"
"387";"569";"2";"1998-02-03 01:55:37"
"246";"401";"1";"1998-01-16 01:09:10"
"371";"50";"4";"1997-10-21 23:22:33"
"314";"274";"3";"1997-10-26 14:26:28"
"166";"328";"5";"1998-02-02 02:35:22"
"455";"197";"5";"1997-11-09 18:30:57"
"664";"176";"4";"1997-10-10 20:34:22"
"840";"505";"5";"1998-03-29 17:51:54"
"401";"191";"4";"1998-03-27 18:07:27"
"326";"441";"2";"1997-11-18 15:23:53"
"224";"97";"5";"1998-02-21 14:35:52"
"653";"160";"3";"1997-11-06 19:14:01"
"271";"136";"3";"1998-01-26 18:07:43"
"707";"902";"5";"1998-03-15 21:28:41"
"721";"938";"3";"1997-10-17 22:15:59"
"378";"210";"4";"1997-11-20 17:18:57"
"863";"1234";"3";"1998-03-07 13:53:39"
"705";"373";"3";"1997-12-29 17:43:57"
"655";"904";"5";"1998-02-14 13:27:19"
"478";"1048";"4";"1998-03-08 17:19:17"
"201";"171";"3";"1998-01-06 15:34:38"
"544";"327";"2";"1998-01-14 13:31:56"
"393";"125";"4";"1998-02-17 16:37:19"
"130";"77";"5";"1997-11-24 15:39:52"
"70";"181";"4";"1998-01-06 02:26:56"
"243";"1039";"4";"1997-11-19 22:09:44"
"210";"105";"3";"1998-03-27 19:05:31"
"188";"218";"5";"1997-09-24 01:17:47"
"468";"31";"3";"1997-09-26 12:26:55"
"717";"591";"4";"1998-01-12 18:58:17"
"417";"1039";"3";"1997-11-15 23:26:36"
"268";"404";"4";"1997-09-26 18:30:30"
"294";"249";"5";"1997-10-25 19:52:21"
"303";"77";"4";"1997-11-14 02:06:18"
"930";"535";"4";"1997-11-14 16:23:12"
"871";"22";"5";"1998-02-22 21:19:37"
"49";"175";"5";"1998-02-21 10:45:15"
"410";"313";"5";"1998-02-27 21:52:17"
"474";"191";"5";"1998-02-19 18:29:49"
"454";"661";"4";"1997-12-12 17:53:11"
"895";"222";"3";"1997-11-13 13:19:25"
"456";"214";"4";"1997-12-05 23:16:26"
"58";"645";"5";"1998-01-08 21:13:58"
"145";"413";"3";"1997-10-20 07:28:00"
"592";"285";"5";"1997-12-20 05:51:50"
"94";"1224";"3";"1998-04-04 17:46:42"
"605";"135";"5";"1997-11-13 09:32:49"
"903";"684";"3";"1998-03-27 18:23:48"
"450";"65";"3";"1997-12-17 13:41:25"
"655";"396";"2";"1998-02-14 00:55:07"
"23";"219";"1";"1997-09-20 17:43:07"
"534";"235";"4";"1997-10-25 16:32:53"
"647";"427";"4";"1997-10-10 22:44:35"
"655";"753";"3";"1998-02-19 00:56:55"
"104";"13";"3";"1998-02-26 01:00:34"
"698";"489";"3";"1998-02-01 18:17:29"
"135";"939";"4";"1997-11-18 09:56:37"
"680";"9";"4";"1997-10-14 05:01:46"
"727";"470";"5";"1998-01-02 00:30:47"
"619";"568";"5";"1998-01-27 23:21:23"
"315";"55";"5";"1997-11-17 23:47:47"
"454";"873";"2";"1997-12-12 17:33:02"
"334";"83";"4";"1998-04-03 15:40:32"
"389";"722";"2";"1997-11-21 02:13:12"
"769";"1028";"3";"1998-01-21 20:09:46"
"408";"334";"2";"1998-03-12 02:18:21"
"141";"984";"4";"1998-02-02 16:31:20"
"335";"260";"3";"1998-04-02 22:32:39"
"559";"22";"1";"1998-03-27 18:26:43"
"505";"161";"3";"1998-03-08 02:08:31"
"552";"1315";"3";"1997-11-11 01:27:32"
"907";"120";"4";"1997-11-21 21:46:02"
"233";"495";"4";"1997-10-23 23:49:24"
"409";"1176";"4";"1997-12-02 20:20:38"
"234";"929";"1";"1998-03-30 00:21:39"
"125";"751";"5";"1998-04-17 14:53:44"
"60";"751";"2";"1997-12-28 13:10:21"
"870";"58";"5";"1997-09-23 18:38:43"
"689";"181";"5";"1997-10-12 13:47:41"
"243";"196";"4";"1997-11-19 22:11:38"
"338";"52";"5";"1997-11-13 13:31:30"
"379";"56";"5";"1997-11-26 03:09:01"
"238";"125";"3";"1997-12-31 10:50:30"
"800";"292";"5";"1998-02-16 13:36:19"
"529";"875";"4";"1997-12-19 09:48:34"
"244";"90";"4";"1997-11-27 02:14:44"
"290";"271";"3";"1997-11-25 12:59:17"
"201";"76";"4";"1998-01-06 23:38:29"
"457";"238";"5";"1997-12-17 18:09:36"
"880";"864";"3";"1997-11-21 23:53:20"
"506";"328";"4";"1998-01-18 11:57:56"
"292";"132";"4";"1997-12-02 20:29:00"
"717";"846";"4";"1998-01-12 18:58:59"
"647";"72";"4";"1997-10-10 22:41:23"
"244";"554";"3";"1997-11-27 02:32:13"
"234";"731";"2";"1998-04-11 20:09:54"
"738";"568";"3";"1997-09-27 05:54:45"
"766";"1444";"2";"1998-03-30 23:15:08"
"269";"445";"3";"1998-04-01 14:06:25"
"887";"25";"2";"1997-12-06 00:22:17"
"557";"165";"5";"1997-12-03 17:07:33"
"177";"135";"5";"1997-11-21 13:45:12"
"545";"710";"3";"1997-11-18 21:43:47"
"158";"514";"3";"1997-11-21 14:58:13"
"901";"259";"2";"1997-10-17 20:10:39"
"314";"801";"3";"1997-10-26 15:53:37"
"325";"1018";"3";"1998-04-01 22:03:58"
"198";"248";"3";"1998-01-07 17:36:25"
"864";"9";"5";"1997-10-18 19:37:16"
"773";"187";"5";"1998-02-26 21:39:22"
"810";"902";"5";"1998-03-16 18:20:10"
"87";"491";"5";"1997-11-18 15:32:10"
"102";"118";"3";"1998-03-01 22:17:45"
"766";"837";"3";"1998-03-30 23:04:38"
"389";"176";"4";"1997-11-21 23:17:27"
"363";"537";"1";"1998-04-02 02:36:42"
"624";"475";"4";"1997-11-17 16:00:23"
"521";"550";"3";"1998-01-19 20:50:44"
"402";"511";"5";"1997-10-07 20:26:15"
"727";"117";"3";"1998-01-01 23:37:40"
"435";"627";"3";"1998-01-06 21:33:14"
"441";"117";"4";"1998-03-27 18:51:29"
"213";"117";"4";"1997-11-06 23:49:47"
"21";"56";"5";"1997-09-22 15:07:38"
"399";"549";"4";"1997-12-17 05:26:30"
"13";"398";"2";"1997-12-17 19:40:10"
"919";"98";"5";"1997-09-27 12:17:50"
"256";"781";"5";"1997-12-15 02:54:56"
"437";"5";"2";"1997-11-21 17:21:03"
"500";"1616";"4";"1998-01-03 21:58:21"
"591";"508";"4";"1998-03-27 20:00:16"
"453";"143";"2";"1998-02-23 00:54:13"
"773";"948";"2";"1998-02-26 21:13:58"
"795";"172";"3";"1997-11-26 15:50:09"
"503";"1317";"4";"1997-11-13 13:34:34"
"943";"41";"4";"1998-02-28 01:30:51"
"535";"792";"4";"1997-11-15 15:30:55"
"796";"96";"4";"1998-04-15 14:48:43"
"911";"855";"5";"1998-04-17 15:51:24"
"23";"257";"3";"1998-03-19 00:09:00"
"834";"100";"4";"1998-03-25 18:45:11"
"124";"474";"3";"1998-03-19 03:00:21"
"896";"173";"5";"1998-02-10 21:58:03"
"745";"100";"5";"1997-11-21 11:33:29"
"472";"877";"3";"1998-04-17 02:12:27"
"933";"163";"2";"1997-09-22 11:25:09"
"561";"709";"3";"1998-01-26 07:00:24"
"780";"660";"3";"1998-03-31 14:06:09"
"269";"55";"4";"1998-04-01 13:46:54"
"298";"205";"5";"1998-01-07 11:06:09"
"233";"660";"5";"1997-10-23 23:53:54"
"6";"9";"4";"1997-12-31 17:13:25"
"195";"61";"3";"1998-03-01 04:27:57"
"18";"965";"4";"1997-11-21 14:06:52"
"734";"582";"2";"1998-03-27 15:18:04"
"7";"447";"5";"1998-03-31 10:28:20"
"932";"527";"4";"1998-03-30 06:21:50"
"182";"222";"3";"1998-01-24 00:39:40"
"102";"554";"2";"1998-03-01 22:19:37"
"664";"149";"3";"1997-10-10 20:15:15"
"174";"1139";"2";"1998-02-03 11:04:11"
"405";"661";"3";"1998-01-23 06:00:25"
"561";"603";"4";"1998-01-26 06:44:02"
"59";"195";"5";"1998-02-23 00:32:37"
"268";"1413";"2";"1997-10-01 19:19:48"
"216";"234";"4";"1997-11-22 21:27:50"
"425";"33";"4";"1997-11-05 11:00:35"
"75";"678";"3";"1998-01-05 22:22:38"
"292";"659";"5";"1997-12-02 20:29:00"
"848";"474";"5";"1998-02-09 12:34:01"
"885";"28";"4";"1998-01-25 04:42:16"
"830";"498";"5";"1998-04-06 18:52:15"
"270";"66";"4";"1997-10-15 19:45:31"
"808";"302";"5";"1998-01-04 18:39:46"
"282";"271";"3";"1997-12-09 18:28:39"
"745";"183";"3";"1997-11-21 11:40:05"
"735";"181";"4";"1997-10-12 20:23:24"
"23";"32";"3";"1997-09-20 17:03:29"
"64";"183";"5";"1998-03-12 18:25:14"
"708";"117";"4";"1997-10-20 02:27:16"
"864";"71";"3";"1998-03-02 22:43:09"
"450";"226";"4";"1997-12-18 16:40:01"
"751";"227";"4";"1998-03-07 16:28:12"
"453";"210";"4";"1997-10-22 18:09:47"
"561";"794";"2";"1998-01-26 07:15:31"
"504";"452";"2";"1998-02-19 15:12:54"
"795";"675";"3";"1997-12-27 16:40:59"
"200";"15";"4";"1998-01-06 20:02:25"
"932";"218";"3";"1998-03-30 06:41:55"
"705";"282";"5";"1997-12-29 17:26:56"
"83";"1049";"3";"1997-11-23 14:53:08"
"755";"938";"3";"1997-12-19 19:20:23"
"291";"64";"5";"1997-09-21 15:53:14"
"279";"96";"4";"1997-09-26 18:50:06"
"334";"228";"5";"1998-04-02 17:11:34"
"867";"64";"5";"1997-11-20 23:15:47"
"143";"271";"4";"1998-02-25 08:55:08"
"308";"510";"3";"1998-02-17 14:35:25"
"189";"582";"5";"1998-04-22 14:26:38"
"97";"432";"4";"1998-01-08 02:56:37"
"389";"603";"5";"1997-11-21 01:35:43"
"459";"832";"3";"1997-11-15 00:15:58"
"758";"654";"4";"1997-12-12 22:04:21"
"181";"18";"1";"1997-11-08 01:17:03"
"495";"568";"1";"1998-02-28 00:08:14"
"841";"751";"3";"1998-03-05 00:01:20"
"661";"131";"3";"1998-02-07 05:55:14"
"59";"230";"4";"1998-02-23 00:48:34"
"484";"431";"4";"1998-03-29 15:04:52"
"129";"873";"1";"1997-12-27 14:57:32"
"425";"176";"3";"1997-11-05 10:59:46"
"346";"322";"3";"1998-01-31 16:05:41"
"770";"257";"4";"1997-10-04 10:34:19"
"445";"117";"1";"1998-03-29 16:30:21"
"347";"235";"2";"1997-12-09 04:40:24"
"732";"321";"3";"1997-12-20 00:56:41"
"915";"268";"5";"1998-03-27 17:44:37"
"593";"106";"2";"1997-09-30 19:59:07"
"908";"528";"4";"1997-11-16 20:19:57"
"13";"132";"4";"1997-12-14 19:53:22"
"456";"135";"4";"1997-12-05 22:52:49"
"224";"147";"3";"1998-02-21 20:27:26"
"642";"845";"5";"1998-03-31 01:21:28"
"293";"583";"3";"1998-03-03 03:53:21"
"111";"272";"3";"1998-04-04 05:48:12"
"169";"134";"5";"1998-03-31 12:47:30"
"326";"265";"4";"1997-11-18 15:08:09"
"151";"393";"2";"1997-11-14 14:31:32"
"592";"269";"4";"1997-12-20 05:41:26"
"792";"696";"3";"1997-10-26 20:57:21"
"773";"175";"4";"1998-02-26 21:30:25"
"556";"520";"5";"1997-12-14 18:54:01"
"727";"566";"3";"1998-01-02 00:24:09"
"92";"1033";"2";"1998-03-18 17:06:32"
"59";"429";"4";"1998-02-23 00:29:57"
"238";"298";"5";"1997-12-31 10:53:18"
"92";"712";"3";"1997-09-30 18:53:12"
"585";"1535";"4";"1998-03-30 16:06:56"
"652";"294";"2";"1997-12-19 18:28:10"
"334";"221";"5";"1998-04-02 16:21:44"
"1";"252";"2";"1997-09-25 23:24:37"
"934";"674";"4";"1998-03-29 14:50:14"
"815";"190";"5";"1997-11-04 22:29:41"
"246";"1218";"3";"1998-01-16 00:53:21"
"815";"582";"1";"1997-11-04 23:01:51"
"543";"212";"4";"1997-09-30 19:39:35"
"82";"70";"4";"1997-11-05 19:44:48"
"224";"632";"2";"1998-02-21 20:31:12"
"72";"45";"5";"1997-11-20 11:57:33"
"63";"1138";"2";"1997-10-01 20:16:29"
"463";"244";"4";"1997-10-20 19:52:15"
"721";"196";"5";"1997-10-17 22:45:47"
"484";"393";"1";"1998-03-29 15:14:06"
"66";"237";"4";"1997-12-31 17:49:15"
"913";"151";"4";"1997-12-05 21:40:24"
"708";"508";"4";"1998-04-16 06:33:13"
"95";"946";"3";"1998-03-03 17:21:29"
"663";"274";"3";"1998-03-09 22:26:22"
"158";"149";"3";"1997-11-21 14:13:03"
"70";"739";"2";"1998-01-07 02:25:53"
"708";"762";"5";"1997-10-20 02:37:18"
"249";"121";"3";"1997-11-15 02:45:05"
"727";"7";"2";"1998-01-01 23:42:07"
"707";"221";"4";"1997-11-20 18:02:29"
"869";"240";"4";"1998-01-11 01:08:54"
"392";"344";"4";"1998-03-27 19:24:50"
"193";"407";"4";"1998-03-05 16:58:41"
"479";"173";"5";"1997-11-13 19:43:04"
"248";"194";"4";"1998-01-11 13:04:32"
"684";"386";"3";"1997-11-05 16:46:24"
"707";"739";"2";"1998-01-31 20:05:19"
"102";"686";"3";"1998-03-01 22:21:13"
"934";"208";"5";"1998-03-29 14:07:38"
"352";"79";"4";"1998-01-08 17:01:33"
"94";"1044";"4";"1998-04-04 17:42:35"
"253";"427";"5";"1998-04-03 15:30:29"
"515";"342";"3";"1998-02-16 17:03:43"
"497";"743";"3";"1997-11-12 16:23:58"
"20";"934";"4";"1997-11-16 05:26:23"
"804";"925";"4";"1997-11-13 14:59:06"
"58";"216";"3";"1998-01-08 21:22:18"
"222";"934";"2";"1997-10-22 20:42:38"
"840";"91";"5";"1998-03-29 19:03:18"
"281";"877";"4";"1997-12-03 22:57:23"
"538";"191";"5";"1997-10-17 13:44:25"
"560";"1134";"3";"1997-11-19 18:54:38"
"87";"232";"3";"1997-11-18 15:00:37"
"378";"4";"3";"1997-11-20 14:06:52"
"446";"328";"3";"1997-11-17 14:16:24"
"152";"559";"1";"1997-12-18 17:12:52"
"911";"479";"5";"1998-04-17 15:46:27"
"62";"1130";"4";"1997-11-12 20:18:06"
"72";"48";"4";"1997-11-20 11:38:38"
"327";"425";"3";"1998-02-18 14:24:41"
"263";"135";"5";"1998-03-30 20:17:57"
"545";"944";"4";"1997-11-18 21:52:11"
"299";"48";"4";"1997-10-26 12:43:32"
"457";"451";"4";"1997-12-19 13:33:32"
"543";"919";"2";"1997-09-21 14:39:09"
"655";"1607";"3";"1998-02-17 23:21:12"
"497";"746";"5";"1997-11-05 16:56:17"
"561";"455";"3";"1998-01-26 06:59:26"
"434";"1060";"3";"1998-02-05 21:25:33"
"421";"423";"2";"1998-04-10 17:55:07"
"407";"1041";"3";"1997-10-08 18:18:12"
"704";"523";"5";"1998-03-31 23:27:47"
"592";"357";"4";"1997-12-24 06:35:02"
"605";"338";"2";"1997-12-01 19:24:24"
"738";"231";"3";"1997-09-27 06:03:15"
"223";"155";"5";"1998-04-02 18:02:32"
"716";"568";"4";"1997-11-17 16:58:38"
"42";"428";"3";"1997-12-02 21:14:00"
"847";"428";"3";"1997-11-07 19:12:12"
"116";"191";"4";"1997-10-10 00:26:01"
"897";"435";"3";"1997-11-19 22:57:49"
"815";"559";"3";"1997-11-04 23:11:17"
"456";"715";"3";"1997-12-05 23:01:37"
"554";"228";"5";"1997-10-11 03:06:51"
"345";"295";"4";"1998-01-16 20:49:52"
"701";"328";"4";"1998-04-01 13:05:07"
"271";"185";"3";"1998-01-26 18:00:48"
"438";"100";"4";"1997-11-18 12:47:04"
"735";"124";"5";"1997-10-12 20:24:03"
"246";"596";"3";"1998-01-16 00:31:51"
"676";"132";"5";"1998-04-15 21:31:43"
"829";"257";"4";"1997-12-09 17:33:04"
"568";"512";"1";"1997-10-26 20:13:16"
"942";"172";"5";"1998-03-30 15:36:03"
"342";"276";"3";"1997-09-23 00:15:31"
"222";"1041";"3";"1997-12-02 07:55:55"
"301";"69";"5";"1997-12-14 02:18:02"
"202";"96";"4";"1997-11-16 21:37:39"
"406";"1147";"4";"1997-11-13 15:37:08"
"495";"98";"5";"1998-02-27 23:29:03"
"782";"750";"4";"1998-04-02 03:16:33"
"733";"129";"2";"1997-11-14 16:21:39"
"738";"79";"3";"1997-09-27 06:03:39"
"416";"269";"4";"1997-10-12 19:50:43"
"453";"276";"5";"1997-10-22 17:36:04"
"555";"480";"4";"1997-11-19 18:37:54"
"293";"1298";"3";"1998-03-03 03:20:45"
"113";"326";"5";"1997-10-04 00:26:49"
"116";"262";"3";"1997-10-13 11:02:22"
"535";"136";"5";"1997-11-15 15:38:27"
"624";"595";"3";"1997-11-17 16:03:28"
"234";"143";"3";"1998-04-08 20:48:08"
"881";"1217";"5";"1997-10-10 23:55:06"
"426";"657";"5";"1997-11-13 14:29:20"
"1";"30";"3";"1997-11-03 04:35:15"
"940";"343";"2";"1998-01-14 15:07:26"
"877";"288";"3";"1997-12-21 00:46:33"
"308";"4";"5";"1998-02-17 14:51:30"
"211";"199";"5";"1997-11-13 19:25:52"
"689";"121";"5";"1997-10-12 14:13:53"
"524";"471";"4";"1998-01-09 02:02:49"
"450";"1261";"4";"1997-12-18 16:22:44"
"889";"191";"4";"1997-11-22 02:54:38"
"401";"328";"4";"1998-03-27 17:48:43"
"348";"245";"4";"1998-02-03 13:19:25"
"73";"89";"5";"1998-02-27 21:28:05"
"671";"526";"2";"1998-01-05 18:23:26"
"881";"1046";"3";"1997-10-11 00:04:11"
"433";"137";"5";"1997-11-26 20:11:44"
"116";"248";"3";"1997-10-10 00:01:32"
"313";"480";"5";"1998-03-27 12:49:02"
"396";"282";"4";"1998-01-12 20:00:52"
"141";"871";"3";"1998-01-12 03:05:48"
"882";"1060";"3";"1997-11-18 11:17:32"
"682";"769";"2";"1998-02-26 16:55:51"
"534";"1054";"5";"1997-10-25 16:32:53"
"761";"546";"5";"1997-10-06 23:14:28"
"825";"678";"4";"1997-11-28 19:45:03"
"99";"181";"5";"1998-01-24 19:15:38"
"354";"181";"4";"1998-03-29 21:10:56"
"487";"294";"4";"1997-12-29 21:09:32"
"112";"332";"4";"1998-02-02 02:50:11"
"385";"92";"3";"1997-11-13 14:46:57"
"178";"978";"2";"1997-12-22 18:09:43"
"405";"1099";"1";"1998-01-23 06:59:48"
"380";"736";"4";"1998-01-22 11:19:40"
"899";"121";"5";"1998-01-06 17:56:04"
"295";"91";"5";"1997-11-14 11:59:16"
"911";"203";"4";"1998-04-17 16:26:36"
"943";"785";"2";"1998-02-28 01:28:08"
"271";"1046";"4";"1998-01-26 18:15:57"
"62";"1060";"1";"1997-11-12 19:16:47"
"361";"762";"2";"1997-11-13 14:06:14"
"10";"276";"4";"1997-10-26 15:51:44"
"514";"486";"3";"1998-01-30 16:51:09"
"429";"763";"4";"1997-12-17 16:30:53"
"895";"100";"4";"1997-11-13 13:19:57"
"318";"205";"3";"1998-01-11 02:25:34"
"332";"148";"5";"1998-02-19 22:34:46"
"442";"218";"3";"1997-12-29 07:07:28"
"13";"201";"1";"1997-12-17 19:14:29"
"593";"584";"3";"1997-09-30 23:06:19"
"643";"430";"5";"1998-04-01 13:16:43"
"162";"179";"3";"1997-10-23 16:59:54"
"703";"237";"5";"1997-09-25 23:59:47"
"363";"2";"4";"1998-04-02 02:43:29"
"7";"642";"3";"1998-04-09 11:31:17"
"158";"408";"5";"1997-11-21 14:11:53"
"290";"64";"4";"1997-11-25 13:07:14"
"343";"143";"4";"1997-10-09 11:17:57"
"383";"513";"5";"1998-03-29 14:36:56"
"608";"499";"4";"1997-11-24 17:31:24"
"567";"675";"4";"1997-12-18 03:33:32"
"749";"401";"1";"1997-11-06 18:00:15"
"648";"810";"4";"1998-01-15 13:50:31"
"826";"624";"4";"1998-01-24 22:06:19"
"462";"326";"4";"1998-02-01 17:34:57"
"896";"993";"4";"1998-02-11 19:18:18"
"511";"294";"4";"1998-03-15 20:36:51"
"149";"305";"4";"1997-12-30 17:10:58"
"846";"515";"5";"1998-01-04 18:14:17"
"263";"294";"2";"1998-03-30 19:35:30"
"618";"420";"3";"1998-03-30 22:52:43"
"500";"831";"3";"1998-01-03 19:20:04"
"378";"272";"4";"1998-03-11 22:10:41"
"738";"200";"3";"1997-09-27 05:48:06"
"479";"274";"4";"1997-11-13 19:32:50"
"733";"298";"2";"1997-11-14 16:25:02"
"133";"304";"3";"1998-03-22 14:43:59"
"429";"467";"4";"1997-12-17 16:00:10"
"437";"651";"4";"1997-12-01 15:52:25"
"890";"632";"5";"1997-12-23 19:35:38"
"788";"685";"3";"1997-11-30 03:23:16"
"847";"1137";"5";"1997-11-05 21:16:44"
"655";"237";"3";"1998-02-14 00:15:16"
"387";"953";"2";"1998-02-03 02:33:32"
"275";"62";"3";"1997-10-07 01:25:28"
"407";"844";"2";"1998-01-07 15:16:24"
"455";"222";"3";"1997-11-03 16:36:15"
"87";"230";"5";"1997-11-18 14:56:58"
"262";"581";"3";"1997-11-17 16:24:27"
"698";"283";"2";"1998-02-01 18:17:29"
"655";"65";"2";"1998-02-14 14:31:51"
"378";"1035";"3";"1997-11-23 21:55:11"
"276";"399";"2";"1997-09-20 18:57:14"
"293";"49";"3";"1998-03-03 03:41:52"
"783";"345";"4";"1998-01-09 03:14:21"
"22";"209";"4";"1997-11-07 04:08:38"
"733";"1173";"2";"1997-11-14 16:30:14"
"407";"684";"3";"1997-09-23 17:07:48"
"328";"228";"3";"1998-01-17 11:22:56"
"727";"444";"2";"1998-01-02 00:47:31"
"397";"109";"4";"1998-03-13 00:46:43"
"717";"298";"3";"1998-01-13 15:12:52"
"831";"22";"5";"1998-03-31 11:29:33"
"886";"240";"3";"1997-10-05 03:08:40"
"885";"210";"5";"1998-01-25 04:32:24"
"465";"127";"4";"1997-12-30 22:11:07"
"274";"164";"5";"1997-11-07 20:50:44"
"110";"232";"3";"1998-02-08 22:40:49"
"830";"95";"3";"1998-04-02 20:57:54"
"548";"164";"5";"1998-03-27 21:20:46"
"537";"423";"2";"1998-01-28 20:37:02"
"62";"298";"4";"1997-11-12 19:05:04"
"496";"17";"3";"1997-10-05 12:34:05"
"178";"200";"3";"1997-12-22 18:43:03"
"886";"1489";"1";"1997-10-05 03:47:54"
"221";"566";"3";"1997-09-26 00:58:28"
"643";"65";"4";"1998-04-01 13:39:46"
"527";"429";"5";"1997-11-13 18:30:11"
"406";"1073";"3";"1997-12-18 18:31:11"
"102";"319";"4";"1997-10-03 10:47:14"
"870";"196";"3";"1997-11-14 17:39:25"
"399";"239";"3";"1997-12-17 04:42:33"
"807";"174";"5";"1998-04-14 01:41:06"
"499";"879";"3";"1998-01-23 20:40:27"
"479";"24";"3";"1997-11-13 19:30:36"
"235";"1193";"4";"1998-03-11 19:27:12"
"236";"864";"2";"1998-03-17 03:44:33"
"57";"678";"3";"1998-01-01 20:15:47"
"250";"56";"4";"1997-10-28 22:53:24"
"311";"778";"4";"1998-01-09 14:00:51"
"194";"185";"4";"1997-11-14 12:27:34"
"509";"879";"1";"1997-12-31 14:55:13"
"308";"632";"3";"1998-02-17 14:54:17"
"776";"181";"4";"1998-04-03 15:41:56"
"174";"471";"5";"1998-02-02 12:36:44"
"269";"111";"1";"1998-04-01 13:05:03"
"223";"71";"5";"1998-04-02 17:57:29"
"561";"1478";"3";"1998-01-26 07:13:46"
"936";"301";"3";"1998-02-07 03:07:17"
"588";"168";"5";"1998-03-16 01:53:22"
"901";"409";"3";"1997-10-17 20:11:51"
"514";"204";"5";"1997-09-26 20:58:51"
"293";"603";"5";"1998-03-03 03:18:18"
"896";"721";"4";"1998-02-10 22:27:45"
"683";"286";"2";"1998-04-22 19:09:37"
"542";"206";"2";"1998-02-03 16:03:22"
"405";"780";"3";"1998-01-23 06:28:11"
"94";"282";"3";"1998-04-04 17:45:58"
